"key";"creationDate";"modificationDate";"ca";"creationDa";"cs";"de";"en";"es";"fa";"fr";"it";"ja";"modificati";"nl";"pl";"pt";"pt_BR";"ru";"sk";"sv";"tr";"uk";"zh_Hans"
"firstname";1456132532;1456133425;"";"1456133";"";"Vorname";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"friendly url";1456133207;1456133427;"";"1456133";"";"URL";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"gewicht";1456130194;1456130263;"";"1456130";"";"Gewicht";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"gift item";1456133161;1456133430;"";"1456133";"";"Geschenk";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"height";1456133008;1456133436;"";"1456133";"";"Höhe";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"höhe";1456132530;1456132530;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"image";1456133202;1456133439;"";"1456133";"";"Bild";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"images";1456130196;1456130274;"";"1456130";"";"Bilder";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"information";1456129884;1456129926;"";"1456130";"";"Information";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"isdownloadproduct";1456129895;1456129933;"";"1456";"";"Ist ein Downloadprodukt";"";"";"";"";"";"";"1456";"";"";"";"";"";"";"";"";"";""
"items";1456132162;1456132251;"";"1456132";"";"Items";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"keywords";1456133206;1456133206;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"kurze beschreibung";1456132526;1456132526;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"lang";1456132148;1456132253;"";"1456132";"";"Sprache";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"language";1456129771;1456129854;"";"1456130";"";"Sprache";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"lastname";1456132532;1456133449;"";"1456";"";"Nachname";"";"";"";"";"";"";"1456";"";"";"";"";"";"";"";"";"";""
"maße";1456129918;1456129935;"";"1456130";"";"Maße";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"master";1456132524;1456132524;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"master (admin mode)";1456132524;1456132524;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"meta beschreibung";1456132529;1456132529;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"meta description";1456129914;1456129939;"";"1456130";"";"Meta Beschreibung";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"meta titel";1456132528;1456132528;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"meta title";1456129913;1456129942;"";"1456130";"";"Meta Titel";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"mobilephone";1456132539;1456133456;"";"1456133";"";"Mobiltelefon";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"name";1456132525;1456132525;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"number";1456132535;1456133459;"";"1456133";"";"Hausnummer";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"order";1456133157;1456133462;"";"1456133";"";"Bestellung";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"order date";1456129769;1456129862;"";"1456130";"";"Bestelldatum";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"order number";1456129770;1456129866;"";"1456130";"";"Bestellnummer";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"order state";1456129768;1456129868;"";"1456130";"";"Bestellstatus";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"out of stock behaviour";1456129906;1456129972;"";"1456130";"";"Wenn nicht auf Lager";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"parent category";1456133199;1456133476;"";"1456133";"";"Eltern-Kategorie";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"payed";1456133213;1456133478;"";"1456133";"";"Bezahlt";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"payment";1456132158;1456132261;"";"1456132";"";"Bezahlung";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"payment fee";1456132155;1456132264;"";"1456132";"";"Bezahlungsdienst-Kosten";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"payment information";1456133214;1456133485;"";"1456133";"";"Zahlungsinformtionen";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"payment module";1456133158;1456133489;"";"1456133";"";"Zahlungsanbieter";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"payment provider";1456132159;1456132270;"";"1456132";"";"Zahlungsanbieter";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"payment provider description";1456132160;1456132274;"";"1456132";"";"Beschreibung";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"phone";1456132538;1456133494;"";"1456133";"";"Telefon";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"pre-tax retail price";1456129900;1456129979;"";"1456130";"";"Verkaufspreis (Netto)";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"pre-tax wholesale price";1456129899;1456129985;"";"1456130";"";"Einkaufspreis (Netto)";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"price";1456133211;1456133497;"";"1456133";"";"Preis";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"price rule";1456132150;1456132278;"";"1456132";"";"Preisregel";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"price with tax";1456129903;1456129990;"";"1456130";"";"Verkaufspreis (Brutto)";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"prices";1456129897;1456130020;"";"1456130";"";"Preise";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"product";1456133160;1456133499;"";"1456133";"";"Produkt";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"provider";1456133212;1456133503;"";"1456133";"";"Anbieter";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"provider token";1456132161;1456132285;"";"1456132";"";"Provider-Kennzeichnung";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"quantity";1456129904;1456130027;"";"1456130";"";"Menge";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"retail price";1456133208;1456133505;"";"1456133";"";"Verkaufspreis";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"seo";1456129912;1456130034;"";"1456";"";"SEO";"";"";"";"";"";"";"1456";"";"";"";"";"";"";"";"";"";""
"shipping";1456132155;1456132288;"";"1456132";"";"Versand";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"shipping address";1456132163;1456132292;"";"1456132";"";"Versandaddresse";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"short description";1456129891;1456130038;"";"1456130";"";"Kurze Beschreibung";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"street";1456132534;1456133509;"";"1456133";"";"Straße";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"subtotal";1456132154;1456132296;"";"1456132";"";"Zwischensumme";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"sxr: home image";1455536936;1455536936;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"sxr: home images";1455537450;1455537450;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"sxr: product slider";1453793816;1453793816;;;;"";"";;;;;;;;;;;;;;;;
"sxr: race calendar";1455539352;1455539352;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"sxrracecalendarentry";1456132523;1456133516;"";"1456133";"";"Race Kalender Eintrag";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"tax";1456133209;1456133519;"";"1456133";"";"Steuer";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"tax rule";1456129901;1456130043;"";"1456130";"";"Steuerregel";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"tiefe";1456129919;1456130044;"";"1456130";"";"Tiefe";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"title";1456133205;1456133521;"";"1456133";"";"Titel";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"total";1456132157;1456132318;"";"1456132";"";"Gesamt";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"total tax";1456132157;1456132303;"";"1456132";"";"Gesamtsteuer";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"transaction identifier";1456133212;1456133528;"";"1456133";"";"Transaktionsidentifier";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"url";1456129916;1456130047;"";"1456130";"";"URL";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"use the classification store to add localized, structured data.&nbsp;<br><b>attention: </b>you cannot use relation-data here. if you need it, use the &quot;custom properties&quot; section.";1454312291;1454312291;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"user";1456133158;1456133534;"";"1456133";"";"Kunde";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"variants";1456129928;1456130049;"";"1456130";"";"Varianten";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"vat number";1456132178;1456132314;"";"1456";"";"UID-Nummer";"";"";"";"";"";"";"1456";"";"";"";"";"";"";"";"";"";""
"weight";1456133009;1456133536;"";"1456133";"";"Gewicht";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"wholesale price";1456133207;1456133541;"";"1456133";"";"Einkaufspreis";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"width";1456133007;1456133543;"";"1456133";"";"Breite";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"zip";1456132536;1456133545;"";"1456133";"";"PLZ";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
