"key";"creationDate";"modificationDate";"ca";"cs";"de";"en";"es";"fa";"fr";"it";"ja";"nl";"pl";"pt";"pt_BR";"ru";"sk";"sv";"tr";"uk";"zh_Hans"
"number";1456132535;1456133837;"";"";"Hausnummer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"order";1456133157;1456133837;"";"";"Bestellung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"order date";1456129769;1456133837;"";"";"Bestelldatum";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"order number";1456129770;1456133837;"";"";"Bestellnummer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"order state";1456129768;1456133837;"";"";"Bestellstatus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"out of stock behaviour";1456129906;1456133837;"";"";"Wenn nicht auf Lager";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"parent category";1456133199;1456133837;"";"";"Eltern-Kategorie";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payed";1456133213;1456133837;"";"";"Bezahlt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment";1456132158;1456133837;"";"";"Bezahlung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment fee";1456132155;1458218699;"";"";"Zahlungsdienst - Kosten";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment fee (tax rate)";1458218617;1458218687;"";"";"Zahlungsdienst - Kosten (Steuersatz)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment fee (without tax)";1458218617;1458218694;"";"";"Zahlungsdienst - Kosten (Steuer)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment information";1456133214;1456133837;"";"";"Zahlungsinformtionen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment module";1456133158;1456133837;"";"";"Zahlungsanbieter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment provider";1456132159;1456133837;"";"";"Zahlungsanbieter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"payment provider description";1456132160;1456133837;"";"";"Beschreibung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"phone";1456132538;1456133837;"";"";"Telefon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"pre-tax retail price";1456129900;1456133837;"";"";"Verkaufspreis (Netto)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"pre-tax wholesale price";1456129899;1456133837;"";"";"Einkaufspreis (Netto)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"price";1456133211;1456133837;"";"";"Preis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"price rule";1456132150;1456133837;"";"";"Preisregel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"price with tax";1456129903;1456133837;"";"";"Verkaufspreis (Brutto)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"prices";1456129897;1456133837;"";"";"Preise";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"product";1456133160;1456133837;"";"";"Produkt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"provider";1456133212;1456133837;"";"";"Anbieter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"provider token";1456132161;1456133837;"";"";"Provider-Kennzeichnung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"quantity";1456129904;1456133837;"";"";"Menge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"retail price";1456133208;1456133837;"";"";"Verkaufspreis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"seo";1456129912;1456133838;"";"";"SEO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"shipping";1456132155;1456133838;"";"";"Versand";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"shipping (tax rate)";1458218617;1458218663;"";"";"Versand (Steuersatz)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"shipping (without tax)";1458218617;1458218667;"";"";"Versand (ohne Steuer)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"shipping address";1456132163;1456133838;"";"";"Versandaddresse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"short description";1456129891;1456133838;"";"";"Kurze Beschreibung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"street";1456132534;1456133838;"";"";"Straße";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subtotal";1456132154;1456133838;"";"";"Zwischensumme";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subtotal (without tax)";1458218617;1458218651;"";"";"Zwischensumme (ohne Steuer)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tax";1456133209;1456133838;"";"";"Steuer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tax rate";1458218767;1458218787;"";"";"Steuersatz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tax rule";1456129901;1456133838;"";"";"Steuerregel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tiefe";1456129919;1456133838;"";"";"Tiefe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"title";1456133205;1456133838;"";"";"Titel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"total";1456132157;1456133838;"";"";"Gesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"total payed";1456233512;1456233589;"";"";"Gesamt bezahlt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"total tax";1456132157;1456133838;"";"";"Gesamtsteuer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"transaction identifier";1456133212;1456133838;"";"";"Transaktionsidentifier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"url";1456129916;1456133838;"";"";"URL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"user";1456133158;1456133838;"";"";"Kunde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"variants";1456129928;1456133838;"";"";"Varianten";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vat number";1456132178;1456133838;"";"";"UID-Nummer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vatnumber";1459261327;1459261340;"";"";"UID-Nummer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"wholesale price";1456133207;1456133838;"";"";"Einkaufspreis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"width";1456133007;1456133838;"";"";"Breite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"zip";1456132536;1456133839;"";"";"PLZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tax (%s - %s)";1;1;"";"";Steuer (%s - %s);"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"New";1;1;"";"";Neu;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pending";1;1;"";"";Ausstehend;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pending Payment";1;1;"";"";Ausstehende Zahlung;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Processing";1;1;"";"";Verarbeitung;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Complete";1;1;"";"";Vollständig;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Closed";1;1;"";"";Geschlossen;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Canceled";1;1;"";"";Storniert;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"On Hold";1;1;"";"";Zurückgestellt;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Payment Review";1;1;"";"";Zahlungsprüfung;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Change Order State";1;1;"";"";Bestellstatus ändern;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Send Order Confirmation Mail";1;1;"";"";Bestellübersicht via E-Mail versenden;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Send Order Status Update Mail";1;1;"";"";Status-Aktualisierung via E-Mail versenden;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Yes";1;1;"";"";Ja;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No";1;1;"";"";Nein;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
